service_id,order_item_id,service_date,issue_type,service_cost
1,4439,08-07-2023 20:59,Brake,10162
2,6815,27-09-2023 18:25,Electrical,6338
3,5054,17-07-2023 16:27,Electrical,4230
4,3088,17-05-2023 21:47,electrical,12309
5,2616,03-04-2023 12:33,ENGINE,10678
6,4733,06-03-2024 11:44,BRAKE,4501
7,2518,05-03-2024 14:13,Engine,17460
8,9,29-04-2023 20:28,electrical,17930
9,6357,23-04-2023 14:27,electrical,8791
10,378,08-01-2023 22:17,Brake,18011
11,690,24-09-2023 12:02,electrical,8785
12,1025,21-11-2023 06:11,ENGINE,3487
13,2094,29-12-2023 19:08,electrical,6327
14,6735,13-02-2023 15:00,electrical,18946
15,1671,11-08-2023 04:07,BRAKE,18705
16,4910,19-10-2023 07:22,electrical,18070
17,5403,14-12-2023 22:18,BRAKE,1994
18,6241,29-03-2024 20:26,electrical,10731
19,1426,11-01-2024 21:19,electrical,13716
20,3398,30-09-2023 04:26,Electrical,11571
21,1688,08-01-2024 21:51,Brake,10244
22,5658,05-06-2023 12:06,BRAKE,11659
23,40,19-03-2023 23:35,Brake,18707
24,1223,01-02-2024 22:33,ENGINE,11395
25,5410,03-02-2024 03:40,Electrical,15047
26,5470,07-02-2024 06:40,BRAKE,14259
27,2291,02-01-2024 18:52,electrical,13366
28,6331,10-08-2023 15:47,Electrical,9953
29,6092,13-07-2023 02:53,Electrical,7482
30,6543,10-09-2023 21:44,ENGINE,3041
31,5460,21-06-2023 11:08,ENGINE,19145
32,5228,19-06-2023 23:48,electrical,11054
33,41,23-02-2023 14:00,BRAKE,14595
34,5987,09-03-2024 04:26,Electrical,4099
35,5020,06-12-2023 02:32,Electrical,10202
36,3737,26-07-2023 09:25,Electrical,3151
37,2535,02-06-2023 00:36,Brake,14198
38,4997,26-03-2024 14:06,BRAKE,15078
39,152,20-08-2023 16:31,Engine,1802
40,4637,21-08-2023 14:34,Brake,4184
41,3229,23-08-2023 23:27,ENGINE,17031
42,3710,15-06-2023 18:58,ENGINE,11420
43,2060,17-06-2023 21:26,electrical,5547
44,4616,02-02-2023 21:14,electrical,16025
45,947,04-02-2023 16:16,electrical,5309
46,1071,26-01-2024 09:53,electrical,5084
47,5678,23-04-2023 11:17,BRAKE,3519
48,6640,15-11-2023 07:22,Brake,12845
49,1154,05-03-2023 22:50,Engine,15904
50,4214,16-10-2023 00:40,Electrical,8098
51,6894,26-09-2023 02:00,Engine,6415
52,2866,18-03-2024 09:41,ENGINE,4079
53,3615,09-08-2023 18:40,electrical,18086
54,6594,29-02-2024 20:48,ENGINE,6774
55,2353,26-03-2023 19:22,Brake,16480
56,3793,23-10-2023 04:28,Brake,2748
57,85,08-07-2023 16:32,Engine,10242
58,6924,17-01-2023 07:28,electrical,13790
59,2166,07-01-2024 00:48,BRAKE,13205
60,5359,14-02-2023 08:51,Brake,5700
61,1526,11-01-2024 08:51,BRAKE,14377
62,5224,25-02-2023 00:18,Brake,17346
63,2179,28-06-2023 23:03,Brake,1754
64,67,09-01-2023 10:18,Electrical,1981
65,3865,07-12-2023 17:12,Engine,12584
66,6269,06-02-2024 10:28,BRAKE,5482
67,552,19-04-2023 02:06,Engine,8754
68,5919,09-12-2023 16:40,Electrical,10579
69,3587,14-10-2023 16:37,ENGINE,11634
70,4874,14-05-2023 21:44,BRAKE,11238
71,3318,26-03-2024 05:06,ENGINE,17854
72,5212,09-05-2023 19:17,BRAKE,2391
73,1505,09-07-2023 05:30,electrical,1719
74,638,24-04-2023 00:36,Engine,16786
75,3606,03-06-2023 16:53,Brake,12875
76,1681,12-10-2023 15:31,Engine,7907
77,4265,25-01-2024 03:49,BRAKE,4207
78,308,01-09-2023 23:01,Engine,17033
79,2692,05-10-2023 05:37,Electrical,18524
80,6521,15-08-2023 03:56,Electrical,8592
81,5684,19-07-2023 22:07,BRAKE,4377
82,2194,02-03-2024 02:57,Engine,4375
83,6358,12-07-2023 07:57,ENGINE,19146
84,6963,09-03-2023 10:52,Electrical,2007
85,6789,05-12-2023 06:19,BRAKE,2057
86,2000,24-04-2023 11:28,BRAKE,3496
87,4172,19-01-2023 08:40,Brake,3094
88,5930,13-01-2023 11:45,BRAKE,15159
89,1570,06-01-2024 12:28,BRAKE,2400
90,6697,17-09-2023 00:54,electrical,9425
91,325,20-02-2023 05:47,BRAKE,13123
92,5420,15-01-2023 13:00,ENGINE,5419
93,6332,26-07-2023 13:14,Brake,16917
94,4673,01-06-2023 19:15,electrical,6287
95,4226,02-07-2023 18:55,Electrical,18156
96,1581,25-02-2023 11:53,Engine,5582
97,1251,20-01-2024 18:02,ENGINE,10138
98,4104,22-08-2023 07:34,Engine,6991
