customer_id,age,gender,income_band,city,first_purchase_date
1,22.0,F,High,Delhi,2020-10-18 21:17:16
2,42.0,F,Low,Delhi,2023-01-15 22:44:23
3,42.0,M,High,Pune,2023-12-03 10:45:16
4,52.0,M,Low,Pune,2023-09-04 13:20:20
5,30.0,M,Medium,Bengaluru,2023-03-22 22:40:38
6,59.0,F,LOW,Bangalore,2020-02-19 05:22:01
7,55.0,F,Medium,Pune,2023-03-21 17:54:26
8,23.0,F,LOW,Chennai,2021-12-17 03:26:02
9,42.0,F,Low,Mumbai,2021-11-20 06:51:32
10,59.0,F,Medium,Bangalore,2021-06-07 03:56:23
11,42.0,F,Medium,Bengaluru,2021-10-19 16:02:31
12,,M,Medium,Chennai,2022-07-10 22:09:06
13,30.0,M,Low,Mumbai,2021-10-20 06:15:49
14,51.0,F,Medium,Bangalore,2023-05-31 02:27:13
15,46.0,M,High,Bangalore,2023-09-11 22:38:15
16,49.0,F,Medium,Pune,2021-09-18 08:29:31
17,25.0,M,Medium,Bangalore,2019-02-22 07:56:13
18,59.0,M,High,Bangalore,2022-05-19 18:12:53
19,53.0,F,High,Delhi,2019-02-08 17:06:09
20,38.0,M,Medium,Pune,2022-05-15 15:34:45
21,28.0,M,Low,Mumbai,2019-12-18 06:26:04
22,39.0,M,LOW,Pune,2022-02-20 10:32:56
23,22.0,M,LOW,Pune,2022-05-16 13:19:22
24,31.0,F,Low,Delhi,2022-05-20 20:18:06
25,32.0,M,Medium,Delhi,2020-12-21 11:51:05
26,39.0,F,Medium,Chennai,2023-12-08 06:31:23
27,33.0,F,LOW,Bangalore,2021-07-12 02:51:41
28,26.0,M,Medium,Bangalore,2022-10-29 04:17:01
29,30.0,F,Low,Mumbai,2023-10-15 14:33:18
30,50.0,F,Medium,Bengaluru,2020-08-28 03:53:22
31,26.0,F,LOW,Bangalore,2020-01-06 22:30:03
32,37.0,F,Medium,Bangalore,2020-12-08 14:20:38
33,49.0,M,High,Mumbai,2023-01-27 01:28:31
34,53.0,M,Medium,Chennai,2022-12-25 15:59:52
35,31.0,F,High,Bengaluru,2020-10-08 04:42:48
36,22.0,F,Low,Bangalore,2019-05-07 20:10:14
37,29.0,F,Low,Chennai,2020-10-21 09:42:41
38,39.0,M,Medium,Delhi,2020-07-19 23:28:03
39,44.0,M,Medium,Delhi,2019-08-22 17:24:40
40,49.0,M,Low,Pune,2022-10-30 10:49:31
41,30.0,F,Medium,Mumbai,2019-02-09 04:22:37
42,54.0,M,Medium,Chennai,2020-06-01 19:22:33
43,50.0,M,Medium,Mumbai,2021-03-04 16:29:13
44,,M,Medium,Bengaluru,2023-10-15 09:58:12
45,39.0,M,Low,Bengaluru,2019-05-12 20:32:46
46,23.0,F,Medium,Delhi,2021-10-25 17:59:35
47,58.0,M,LOW,Mumbai,2023-09-06 11:06:22
48,41.0,M,Medium,Pune,2023-09-03 01:50:05
49,29.0,F,Low,Bengaluru,2021-03-09 09:03:12
50,59.0,M,LOW,Bengaluru,2020-03-12 10:55:31
51,37.0,F,High,Bengaluru,2019-09-24 12:24:35
52,26.0,M,LOW,Bangalore,2021-09-24 14:04:53
53,51.0,M,Medium,Chennai,2021-10-13 03:51:17
54,32.0,M,LOW,Bangalore,2019-09-16 12:13:55
55,34.0,F,LOW,Bangalore,2023-04-06 14:12:44
56,32.0,F,Low,Bangalore,2023-05-14 22:27:10
57,39.0,M,Low,Bangalore,2023-01-20 14:37:05
58,37.0,F,High,Bengaluru,2022-06-03 08:37:45
59,56.0,F,Medium,Bengaluru,2020-09-01 03:44:43
60,35.0,M,High,Mumbai,2019-04-10 08:49:37
61,51.0,F,Low,Bengaluru,2021-09-28 16:09:45
62,49.0,M,LOW,Bengaluru,2021-09-12 14:57:01
63,47.0,M,Medium,Bengaluru,2023-10-26 17:49:01
64,40.0,M,LOW,Delhi,2020-11-28 23:17:34
65,48.0,M,High,Bangalore,2022-07-16 02:15:35
66,22.0,M,LOW,Delhi,2020-01-30 21:31:57
67,35.0,M,High,Bangalore,2020-02-26 16:27:02
68,46.0,F,Medium,Delhi,2021-11-01 16:14:51
69,37.0,F,Low,Bangalore,2022-03-22 17:49:49
70,55.0,F,High,Bangalore,2020-09-29 19:10:31
71,59.0,M,Low,Mumbai,2023-05-12 09:52:20
72,58.0,M,Medium,Pune,2020-11-10 21:38:23
73,28.0,M,High,Bengaluru,2021-11-27 06:23:13
74,36.0,M,Medium,Mumbai,2021-03-18 04:06:12
75,39.0,M,Low,Chennai,2022-04-20 12:46:15
76,33.0,M,Medium,Delhi,2022-10-11 17:22:32
77,48.0,M,Medium,Delhi,2023-03-18 18:18:35
78,25.0,M,High,Delhi,2022-07-16 10:14:04
79,46.0,F,LOW,Mumbai,2021-03-02 14:20:24
80,40.0,M,Low,Bengaluru,2020-08-22 00:58:40
81,26.0,M,LOW,Chennai,2021-02-16 06:57:28
82,55.0,M,LOW,Mumbai,2022-01-10 19:02:47
83,47.0,F,LOW,Chennai,2021-09-15 07:34:24
84,58.0,F,Low,Mumbai,2020-07-11 12:49:47
85,32.0,M,Medium,Mumbai,2019-10-02 12:08:55
86,46.0,F,Medium,Pune,2020-11-30 21:53:02
87,54.0,M,LOW,Chennai,2019-05-28 05:07:22
88,44.0,F,LOW,Mumbai,2020-07-17 20:00:50
89,41.0,F,LOW,Mumbai,2021-08-20 06:12:32
90,56.0,F,Medium,Bangalore,2022-03-31 04:33:11
91,23.0,M,High,Mumbai,2021-11-23 08:30:24
92,33.0,M,High,Delhi,2020-07-27 21:17:56
93,56.0,M,High,Bangalore,2022-07-20 07:06:33
94,38.0,F,High,Delhi,2020-08-17 01:42:35
95,36.0,F,Medium,Bangalore,2021-07-03 13:41:53
96,46.0,F,LOW,Pune,2023-06-24 23:17:52
97,40.0,M,Medium,Pune,2019-02-22 14:39:43
98,45.0,F,Medium,Bangalore,2020-09-22 11:47:35
99,48.0,M,High,Mumbai,2022-12-02 13:05:47
100,33.0,F,Low,Pune,2020-09-16 05:38:47
101,,M,Low,Mumbai,2022-05-13 22:14:45
102,57.0,F,High,Bengaluru,2020-08-30 02:22:18
103,49.0,M,Medium,Pune,2023-09-22 16:30:56
104,,M,Medium,Delhi,2020-01-30 01:07:46
105,22.0,M,High,Bangalore,2023-08-28 16:37:02
106,24.0,M,Medium,Bangalore,2022-07-03 18:43:25
107,46.0,F,Low,Chennai,2023-12-16 03:22:42
108,44.0,F,Medium,Chennai,2020-06-20 03:03:28
109,51.0,F,Low,Mumbai,2023-08-29 13:24:20
