inbound_id,dealership_id,model_id,inbound_date,quantity_received,source
1,25,20,2023-06-21 06:17:07,12.0,plant
2,20,41,2023-09-22 12:45:29,11.0,PLANT
3,21,47,2023-05-31 04:15:35,9.0,TRANSFER
4,9,28,2023-05-19 00:35:53,7.0,plant
5,3,21,2023-01-13 11:54:55,8.0,Transfer
6,17,41,2023-07-02 08:17:14,1.0,TRANSFER
7,24,45,2023-09-06 01:39:47,14.0,plant
8,9,33,2023-06-05 23:09:46,6.0,plant
9,11,48,2023-07-26 18:00:59,19.0,PLANT
10,14,9,2023-04-06 00:23:08,10.0,plant
11,26,24,2023-05-02 07:49:15,6.0,PLANT
12,27,13,2023-11-14 20:41:23,3.0,TRANSFER
13,28,30,2023-06-05 08:14:14,3.0,Transfer
14,30,46,2023-04-14 11:53:06,6.0,TRANSFER
15,10,43,2023-06-17 00:07:23,3.0,plant
16,4,33,2023-09-01 10:57:38,17.0,Plant
17,16,46,2023-04-16 01:27:22,7.0,PLANT
18,16,24,2023-03-08 22:09:20,3.0,Transfer
19,29,20,2023-04-08 15:17:58,12.0,Transfer
20,12,50,2023-03-10 12:30:34,10.0,Transfer
21,6,1,2023-06-01 04:58:43,10.0,TRANSFER
22,7,23,2023-09-25 03:42:39,18.0,PLANT
23,23,33,2023-11-03 14:59:18,15.0,PLANT
24,8,17,2023-07-09 09:51:43,,Plant
25,6,2,2023-11-20 21:23:29,9.0,TRANSFER
26,7,31,2023-12-20 00:53:08,9.0,PLANT
27,30,31,2023-06-05 00:12:27,11.0,PLANT
28,9,16,2023-05-28 10:30:21,13.0,Plant
29,16,37,2023-11-18 05:19:58,3.0,TRANSFER
30,22,37,2023-12-29 21:41:42,17.0,plant
31,30,7,2023-10-12 05:18:51,18.0,PLANT
32,13,36,2023-10-01 17:25:47,9.0,TRANSFER
33,15,1,2023-11-24 13:47:20,11.0,TRANSFER
34,18,30,2023-06-10 11:27:37,1.0,plant
35,4,18,2023-04-13 08:57:07,6.0,plant
36,5,42,2023-11-03 01:49:25,6.0,Transfer
37,8,39,2023-05-11 19:56:02,14.0,TRANSFER
38,4,26,2023-05-26 20:39:13,4.0,Plant
39,17,11,2023-01-05 13:13:15,13.0,PLANT
40,17,1,2023-12-26 08:28:46,11.0,TRANSFER
41,2,38,2023-07-03 18:43:06,9.0,PLANT
42,24,5,2023-04-22 09:29:21,2.0,Plant
43,16,22,2023-11-26 14:15:26,2.0,plant
44,19,13,2023-01-30 05:52:20,19.0,Plant
45,22,17,2023-11-26 21:30:10,16.0,TRANSFER
46,7,50,2023-08-17 05:42:09,3.0,PLANT
