snapshot_id,snapshot_date,dealership_id,model_id,stock_on_hand
1,2023-05-24 03:01:45,7,13,19.0
2,2023-12-25 00:12:09,28,6,34.0
3,2023-09-24 02:05:11,14,38,26.0
4,2023-04-15 19:58:03,25,21,1.0
5,2023-02-25 10:38:07,14,19,17.0
6,2023-07-17 02:38:14,25,25,35.0
7,2023-06-28 18:49:11,28,39,28.0
8,2023-07-18 10:48:29,2,4,10.0
9,2023-02-05 21:38:03,17,22,30.0
10,2023-09-14 16:01:12,27,5,3.0
11,2023-01-09 06:41:35,20,1,27.0
12,2023-08-04 22:13:34,4,50,26.0
13,2023-08-29 11:39:16,13,17,18.0
14,2023-10-30 18:14:36,18,9,11.0
15,2023-01-13 04:50:12,3,9,5.0
16,2023-08-10 11:32:26,19,24,8.0
17,2023-02-10 08:03:21,5,10,35.0
18,2023-01-25 01:56:03,1,20,7.0
19,2023-11-11 01:26:36,9,17,5.0
20,2023-10-22 13:20:40,24,13,23.0
21,2023-11-09 13:50:44,8,29,27.0
22,2023-07-04 16:18:53,3,36,25.0
23,2023-09-06 18:15:13,2,23,28.0
24,2023-03-02 16:32:14,1,27,26.0
25,2023-11-19 05:51:37,12,18,8.0
26,2023-05-09 01:53:02,22,18,7.0
27,2023-10-10 22:45:26,13,9,34.0
28,2023-05-09 15:05:11,10,3,24.0
29,2023-07-15 15:17:47,17,7,0.0
30,2023-08-13 20:35:43,30,15,6.0
31,2023-02-26 06:21:22,11,30,31.0
32,2023-07-23 09:08:14,5,9,3.0
33,2023-01-24 18:21:02,25,41,39.0
34,2023-08-05 14:25:51,27,27,4.0
35,2023-11-16 03:26:27,9,36,5.0
36,2023-11-17 16:27:00,13,18,38.0
37,2023-10-16 22:23:01,28,31,30.0
38,2023-09-26 19:55:44,20,17,22.0
39,2023-10-21 21:20:03,23,6,28.0
40,2023-12-16 22:30:34,30,39,15.0
41,2023-01-24 23:36:11,11,25,16.0
42,2023-12-27 05:58:49,23,42,27.0
43,2023-11-30 11:57:48,4,42,28.0
44,2023-03-05 04:46:28,21,38,5.0
45,2023-06-15 05:03:18,11,38,24.0
46,2023-10-19 04:34:36,9,31,38.0
47,2023-09-04 18:39:16,7,29,12.0
48,2023-05-06 18:52:28,16,40,32.0
49,2023-09-22 22:10:56,23,9,39.0
50,2023-01-14 21:25:46,26,1,24.0
51,2023-06-24 22:49:10,23,16,10.0
52,2023-10-24 21:18:31,25,38,28.0
53,2023-05-24 04:47:08,5,23,20.0
54,2023-09-24 02:31:50,6,8,23.0
