order_item_id,order_id,model_id,sale_price,discount,delivery_days_promised,delivery_days_actual
1,1126,25,1480084,15,14,24.0
2,2735,14,1880639,15,19,17.0
3,4228,5,1080943,,13,7.0
4,1535,18,1002441,0.1,10,10.0
5,2422,28,2270429,10%,6,
6,1922,30,2024905,10%,18,13.0
7,1552,36,1449409,15,12,9.0
8,3918,6,1688901,,14,6.0
9,936,31,2039704,0.1,15,23.0
10,1684,18,1225973,,17,19.0
11,3859,25,1130816,0.1,5,5.0
12,3949,34,1356746,10%,14,26.0
13,645,8,1073117,0.1,17,9.0
14,3382,28,1327149,,7,27.0
15,4274,7,1149142,0.1,9,24.0
16,2606,34,732838,15,5,13.0
17,1829,25,1847823,0.1,10,20.0
18,1977,1,1737357,0.1,18,
19,474,43,651448,15,19,23.0
20,884,2,716260,,6,27.0
21,3383,34,1912209,0.1,19,26.0
22,3640,32,1458575,0.1,14,22.0
23,1088,12,2575681,10%,10,28.0
24,3660,44,1897095,15,19,24.0
25,3539,26,717500,10%,18,5.0
26,2479,22,942028,15,12,20.0
27,3748,43,2588194,0.1,15,9.0
28,1910,31,2350113,15,19,25.0
29,4320,33,1980838,15,18,8.0
30,195,22,2071600,,9,25.0
31,4541,48,1966499,,11,17.0
32,2773,8,613347,0.1,11,26.0
33,687,16,2432927,,8,26.0
34,497,28,1466996,15,19,25.0
35,2157,14,615450,,11,23.0
36,2570,4,1071781,15,14,19.0
37,674,24,1931491,0.1,8,20.0
38,4221,19,1413622,10%,19,11.0
39,989,25,1934044,0.1,8,25.0
40,3925,47,1411132,,14,
41,4393,48,1371129,10%,16,26.0
42,4109,17,2347882,,17,19.0
43,2300,36,781386,,14,16.0
44,1120,2,2278367,,16,16.0
45,1017,45,2307468,10%,5,12.0
46,3986,27,1233139,0.1,19,29.0
47,2855,42,622157,0.1,5,18.0
48,2233,8,2208984,0.1,5,13.0
49,3674,37,1903482,15,17,14.0
50,3224,5,1254629,,18,10.0
51,2735,46,780544,15,9,15.0
52,2871,4,803183,15,19,10.0
53,3472,6,1538615,15,16,25.0
54,2461,29,738266,10%,8,6.0
55,3084,8,2081037,15,7,19.0
56,4485,48,1096231,,10,27.0
57,3767,10,1449703,15,11,16.0
58,4082,35,1666061,,16,28.0
59,108,10,898331,,6,18.0
60,3146,46,1591349,15,6,17.0
61,435,16,911069,0.1,12,22.0
62,972,12,2193789,0.1,9,17.0
63,4072,25,2529182,15,9,28.0
64,2972,15,1369185,10%,17,8.0
65,385,14,2510797,15,19,7.0
66,3758,6,2492409,10%,11,5.0
67,298,36,2183890,,9,28.0
68,3418,3,1313866,0.1,10,13.0
69,226,45,1281498,0.1,13,22.0
70,3513,27,2227237,,13,10.0
71,1329,17,1518987,,19,26.0
72,4701,25,1026306,10%,16,13.0
73,970,48,1440378,,13,15.0
74,3510,35,1665223,0.1,10,17.0
75,1187,5,1016471,0.1,15,9.0
76,937,30,2123960,0.1,13,11.0
77,3315,18,739554,0.1,17,16.0
78,3531,20,906260,15,16,9.0
79,3531,27,2558133,0.1,14,23.0
80,1767,44,1173949,0.1,19,
