order_id,order_date,dealership_id,customer_id,booking_channel,payment_type
1,2023-08-21 17:52:06,22,3052,Walk-in,Credit Card
2,2023-03-17 20:05:07,2,5381,,Credit Card
3,2023-01-20 10:27:31,21,5753,Walk-in,CC
4,2023-05-19 11:30:36,18,3944,,Loan
5,2023-04-04 07:27:51,20,3232,Walk-in,Cash
6,2023-03-18 06:43:55,12,88,Online,Credit Card
7,2023-08-18 05:31:33,21,3429,,Cash
8,2023-01-18 16:22:06,8,1672,Online,CC
9,2023-09-29 07:00:22,10,4527,,CC
10,2023-01-31 08:49:08,9,4844,,Loan
11,2023-09-13 06:34:11,15,5193,Online,Cash
12,2023-07-07 05:47:12,29,1922,Online,Cash
13,2023-10-04 15:06:30,27,4929,,Cash
14,2023-02-13 23:45:55,11,1653,Online,Credit Card
15,2023-01-26 19:36:44,21,5831,Online,Loan
16,2023-10-13 13:35:27,11,2836,,Credit Card
17,2023-09-12 21:06:44,6,2547,,Loan
18,2023-08-28 06:06:28,28,5844,,Cash
19,2023-11-16 18:14:50,17,4461,Walk-in,CC
20,2023-04-15 03:02:09,1,2657,Walk-in,Credit Card
21,2023-11-13 16:37:21,17,3414,,Loan
22,2023-11-19 11:24:40,2,5980,Online,CC
23,2023-09-06 05:51:42,24,3231,Walk-in,CC
24,2023-08-04 06:59:24,21,4323,Walk-in,CC
25,2023-05-25 21:52:37,11,778,Walk-in,Cash
26,2023-11-24 03:08:39,10,3414,,Cash
27,2023-05-07 07:43:58,3,3537,,Loan
28,2023-07-18 08:02:53,5,4667,Online,Credit Card
29,2023-07-09 15:14:13,11,2411,Walk-in,Loan
30,2023-05-20 06:01:38,24,4326,Walk-in,CC
31,2023-08-05 23:28:50,7,1159,Online,Cash
32,2023-09-18 07:10:21,26,4389,Online,Credit Card
33,2023-06-08 04:16:58,18,2934,Online,Loan
34,2023-11-21 06:02:28,26,3075,,Loan
35,2023-02-14 22:27:30,9,2855,Online,Cash
