movement_id,dealership_id,model_id,movement_date,movement_type,quantity_change
1,6,23,2023-03-20 04:49:26,Sale,-10
2,2,23,2023-10-21 21:50:53,Sale,-9
3,5,34,2023-03-18 09:46:49,sold,-5
4,16,35,2023-11-08 22:54:54,Sale,-10
5,26,17,2023-10-26 03:11:59,TRANSFER,-9
6,4,13,2023-03-27 17:27:50,TRANSFER,-6
7,13,32,2023-07-16 09:56:32,sold,-2
8,28,17,2023-08-16 23:50:09,Transfer,-7
9,7,6,2023-04-18 02:49:43,Damage,-9
10,25,43,2023-12-28 12:16:03,TRANSFER,9
11,9,42,2023-07-06 09:07:19,Sale,-10
12,26,48,2023-01-12 00:55:19,TRANSFER,-5
13,1,43,2023-11-19 08:55:50,Sale,-2
14,23,36,2023-07-20 21:03:29,Damage,1
15,23,25,2023-02-02 11:19:17,sold,2
16,5,3,2023-02-13 11:28:32,Damage,-5
17,24,47,2023-02-03 17:36:13,TRANSFER,7
18,26,15,2023-04-26 12:19:32,Transfer,-10
19,20,46,2023-10-22 10:18:43,sold,-8
20,11,18,2023-09-06 23:10:17,Damage,9
21,17,10,2023-09-18 13:44:49,TRANSFER,5
22,13,5,2023-12-30 03:06:21,Sale,-2
23,20,38,2023-08-26 02:27:48,SALE,3
24,27,21,2023-02-04 03:40:48,sold,3
25,2,44,2023-05-12 00:18:05,Damage,-8
26,29,1,2023-01-17 17:30:42,SALE,8
27,16,44,2023-03-29 21:36:15,Transfer,-4
28,19,25,2023-05-21 14:14:14,Transfer,-3
29,29,43,2023-01-11 19:14:43,Transfer,3
30,20,29,2023-03-30 20:03:34,SALE,-5
31,23,42,2023-09-10 09:40:47,Damage,7
32,28,34,2023-04-18 18:39:09,SALE,-2
33,9,47,2023-07-21 23:28:47,SALE,-9
34,4,19,2023-09-25 16:29:46,Transfer,-7
35,18,44,2023-09-23 09:17:26,Sale,4
36,10,19,2023-11-07 09:27:17,Damage,4
37,15,36,2023-12-28 23:28:10,SALE,-9
38,13,12,2023-04-22 23:48:12,SALE,-7
39,16,32,2023-11-21 17:23:14,Sale,4
40,10,22,2023-09-13 04:07:42,Damage,-6
41,4,1,2023-11-10 00:42:33,TRANSFER,1
42,16,1,2023-01-27 06:53:59,Transfer,-2
43,24,37,2023-03-17 13:49:48,TRANSFER,8
44,11,24,2023-05-28 16:12:09,Transfer,-3
45,2,13,2023-01-25 20:34:27,TRANSFER,2
46,28,49,2023-06-17 17:53:53,Sale,4
47,30,49,2023-08-28 00:41:37,sold,8
48,12,28,2023-02-08 04:08:00,sold,8
49,8,33,2023-08-11 19:36:16,Damage,-9
50,21,26,2023-10-24 03:14:24,TRANSFER,-8
51,13,17,2023-03-29 11:16:56,SALE,2
52,2,25,2023-11-27 15:00:34,Transfer,-2
53,24,32,2023-11-16 12:24:06,TRANSFER,-10
54,2,2,2023-06-13 22:50:51,SALE,8
55,4,43,2023-03-18 11:48:26,Transfer,-5
56,18,30,2023-10-17 20:23:23,Transfer,5
57,22,50,2023-02-26 11:05:56,TRANSFER,-7
58,3,14,2023-01-12 15:09:31,SALE,-8
59,7,13,2023-05-27 20:35:34,TRANSFER,4
60,6,37,2023-03-01 12:55:42,sold,3
61,1,11,2023-07-22 02:29:16,sold,9
62,9,45,2023-10-09 21:23:33,Damage,1
63,12,48,2023-03-24 00:30:04,sold,3
64,7,9,2023-01-26 00:56:13,Sale,-10
65,30,36,2023-12-19 10:53:40,sold,-10
66,1,22,2023-03-24 04:14:48,Damage,7
67,20,4,2023-04-28 00:30:46,SALE,7
68,4,31,2023-11-30 19:22:50,sold,5
69,6,43,2023-05-10 10:34:56,sold,-5
70,16,38,2023-10-23 16:55:42,Sale,-4
71,15,41,2023-07-29 14:41:01,Damage,-10
72,3,1,2023-08-05 20:31:35,Damage,1
73,29,19,2023-09-03 00:29:21,Sale,-10
74,18,9,2023-07-05 02:03:58,SALE,-10
75,19,12,2023-04-13 06:15:10,Transfer,4
76,13,39,2023-04-16 18:10:20,Damage,-6
77,20,43,2023-12-02 20:50:36,Damage,-2
